"product_id","code_retour","code_produit","quantite","descr_produit","description_retour","qte_inventaire","qte_detruite","taux_restock","poids","poids_produits","quantite_recue"
"1740","6600","L015-210","1","FUSIL DE RECHANGE COMPLET (PIST-AJUST)","Défectueux","0","1","0","0","2","1"
"1741","6601","S1205B","1","S1000 BLEU: ANTIROUILLE HUILE 205L","NON CONFORME ???","0","0","0","0","420","0"
"1742","6602","POMPE_TRANSFERT","1","POMPE DE TRANSFERT (PRÊT)",,"1","0","0","0","40","1"
"1743","6603","POMPE_TRANSFERT","1","POMPE DE TRANSFERT (PRÊT)",,"1","0","0","0","40","1"
"1744","6604","POMPE_TRANSFERT","1","POMPE DE TRANSFERT (PRÊT)",,"1","0","0","0","40","1"
"1745","6605","RG1T","17","GRAISSE - RG1 HIVER TUBES (425G)","TUBES ENDOMMAGÉS","0","20","0","0","18","17"
"1746","6606","NTXD1","6","NTX DIESEL 1 LITRE","Bouteilles qui ont coulé","1","5","0","0","12","6"
"1747","6606","CE1","6","CETANE 1L","Bouteilles qui ont coulé","6","0","0","0","12","6"
"1748","6607","S3020N","4","S3000 NOIR: ANTI. HUILE ET CIRE 20L",,"4","0","0","0","168","4"
"1749","6608","HD15W40S18.9","4","HUILE MOTEUR DIESEL SYN 15W40 18.9 L","SURPLUS D'INVENTAIRE","4","0","0","0","160","4"
"1750","6608","HR20","2","ANTIFRICTION HYDRAULIQUE ROUGE 20L","SURPLUS D'INVENTAIRE","2","0","0","0","86","2"
"1751","6608","MA500","36","MAXEP 500ML","SURPLUS D'INVENTAIRE","36","0","0","0","42","36"
"1752","6609","PSDIV962","50","PROMO: SAC RÉUTILISABLE (Multiple de 10)","Produits non expédiés","0","0","0","0","1","0"
"1753","6610","GS75W140500","12","HUILE ENG. 75W140 SYN 500ML","PRODUITS NON EXPDÉDIÉS","0","0","0","0","12","0"
"1754","6610","GS75W90500","12","HUILE ENG. 75W90 SYN 500ML","PRODUITS REÇU EN TROP","0","0","0","0","12","0"
"1755","6611","S2205N","1","S2000 NOIR: ANTI. POLYMERIC 205L","NON CONFORME ???","0","1","0","0","0","1"
"1756","6612","S2205A","1","S2000 AMBRE: ANTI. POLYMERIC 205L","NON CONFORME ???","0","1","0","0","420","1"
"1757","6613","PSDIV962","10","PROMO: SAC RÉUTILISABLE (Multiple de 10)","NON EXPÉDIÉS","0","0","0","0","0","0"
"1758","6614","SLUB375","12","SINLUB AEROSOL 375G","PRODUIT NON REÇUS","0","0","0","0","14","0"
"1759","6615","MTAK400","1","MOLYTAK AEROSOL 400G","Produit sans ambout","0","1","0","0","1","0"
"1760","6616","PLUB350","12","Pen Lub aérosol 350g","Erreur de commande","12","0","0","0","12","12"
"1761","6617","NTX350","1","NTX ESSENCE 350ML","Bouteille mal scellée","0","1","0","0","0","1"
"1762","6618","ATF1","12","ATF+: HUILE TRANSMISSION ATF+ 1L","ERREUR DE PRODUIT","0","0","0","0","27","0"
"1763","6619","NTX350","12","NTX ESSENCE 350ML","Erreur de produit","12","0","0","0","9","12"
"1764","6620","ST8090205","1","SYNTOP: HUILE ENGRENAGE SYN 80W90 205L","Erreur de commande","1","0","0","0","420","1"
"1765","6621","RG1T","30","GRAISSE - RG1 HIVER TUBES (425G)","Erreur de produit","30","0","0","0","33","30"
"1766","6622","BC390","12","BRAKE CLEANER 390G","Erreur de produit","12","0","0","0","15","12"
"1767","6623","OC350","12","OCTANE 350ML","BOUTEILLE MAL SCELLÉE","0","12","0","0","9","4"
"1768","6624","HME0W20S1","24","0W20: HUILE MOTEUR ESSENCE SYN 1L","ERREUR DE PRODUIT","24","0","0","0","49","24"
"1769","6625","RG017","1","GRAISSE - RG0 HIVER (17KG)","colis perdu","0","1","0","0","40","0"
"1770","6626","S3500T","30","Graisse S-350 EP 0 Tube 400g *5622640*","COLIS PERDU","0","30","0","0","33","0"
"1771","6627","SYN100T","30","GRAISSE - SYN100% GR_2 (430 GR)",,"30","0","0","0","35","30"
"1772","6628","RGP1T","30","GRAISSE - PREMIUM GR_1 TUBES (410G)",,"30","0","0","0","33","30"
"1773","6629","PVTUQ270","4","TUQUE: SINTO","PRODUIT NON REÇU","0","0","0","0","0","0"
"1774","6630","RGP1T","30","GRAISSE - PREMIUM GR_1 TUBES (410G)","Produits endommagés","0","30","0","0","33","30"
"1776","6631","RGP2T","120","GRAISSE - PREMIUM GR_2 TUBES (430G)","Erreur de produit","120","0","0","0","132","120"
